Test_ID,Category,Condition,Trial,Metric_Name,Value,Unit,Status
EXP1_BOOT,Boot_Time,MCU_DWT,19,MCU_Init_Cycles,2567,cycles,PASS
EXP1_BOOT,Boot_Time,MCU_DWT,19,MCU_Init_Time,160.4375,us,PASS
EXP1_BOOT,Boot_Time,115200_Baud,20,Host_Boot_Time,45.676199999434175,ms,PASS
EXP1_BOOT,Boot_Time,MCU_DWT,20,MCU_Init_Cycles,2567,cycles,PASS
EXP1_BOOT,Boot_Time,MCU_DWT,20,MCU_Init_Time,160.4375,us,PASS
EXP1_BOOT,Boot_Time,115200_Baud,21,Host_Boot_Time,47.59900000135531,ms,PASS
EXP1_BOOT,Boot_Time,MCU_DWT,21,MCU_Init_Cycles,2567,cycles,PASS
EXP1_BOOT,Boot_Time,MCU_DWT,21,MCU_Init_Time,160.4375,us,PASS
EXP1_BOOT,Boot_Time,115200_Baud,22,Host_Boot_Time,45.75449999902048,ms,PASS
EXP1_BOOT,Boot_Time,MCU_DWT,22,MCU_Init_Cycles,2567,cycles,PASS
EXP1_BOOT,Boot_Time,MCU_DWT,22,MCU_Init_Time,160.4375,us,PASS
EXP1_BOOT,Boot_Time,115200_Baud,23,Host_Boot_Time,44.839099999080645,ms,PASS
EXP1_BOOT,Boot_Time,MCU_DWT,23,MCU_Init_Cycles,2567,cycles,PASS
EXP1_BOOT,Boot_Time,MCU_DWT,23,MCU_Init_Time,160.4375,us,PASS
EXP1_BOOT,Boot_Time,115200_Baud,24,Host_Boot_Time,45.98229999828618,ms,PASS
EXP1_BOOT,Boot_Time,MCU_DWT,24,MCU_Init_Cycles,2567,cycles,PASS
EXP1_BOOT,Boot_Time,MCU_DWT,24,MCU_Init_Time,160.4375,us,PASS
EXP1_BOOT,Boot_Time,115200_Baud,25,Host_Boot_Time,45.574599997053156,ms,PASS
EXP1_BOOT,Boot_Time,MCU_DWT,25,MCU_Init_Cycles,2567,cycles,PASS
EXP1_BOOT,Boot_Time,MCU_DWT,25,MCU_Init_Time,160.4375,us,PASS
EXP1_BOOT,Boot_Time,115200_Baud,26,Host_Boot_Time,44.258000001718756,ms,PASS
EXP1_BOOT,Boot_Time,MCU_DWT,26,MCU_Init_Cycles,2567,cycles,PASS
EXP1_BOOT,Boot_Time,MCU_DWT,26,MCU_Init_Time,160.4375,us,PASS
EXP1_BOOT,Boot_Time,115200_Baud,27,Host_Boot_Time,45.952100001159124,ms,PASS
EXP1_BOOT,Boot_Time,MCU_DWT,27,MCU_Init_Cycles,2567,cycles,PASS
EXP1_BOOT,Boot_Time,MCU_DWT,27,MCU_Init_Time,160.4375,us,PASS
EXP1_BOOT,Boot_Time,115200_Baud,28,Host_Boot_Time,46.33610000018962,ms,PASS
EXP1_BOOT,Boot_Time,MCU_DWT,28,MCU_Init_Cycles,2567,cycles,PASS
EXP1_BOOT,Boot_Time,MCU_DWT,28,MCU_Init_Time,160.4375,us,PASS
EXP1_BOOT,Boot_Time,115200_Baud,29,Host_Boot_Time,46.055700000579236,ms,PASS
EXP1_BOOT,Boot_Time,MCU_DWT,29,MCU_Init_Cycles,2567,cycles,PASS
EXP1_BOOT,Boot_Time,MCU_DWT,29,MCU_Init_Time,160.4375,us,PASS
EXP1_BOOT,Boot_Time,115200_Baud,30,Host_Boot_Time,47.08770000070217,ms,PASS
EXP1_BOOT,Boot_Time,MCU_DWT,30,MCU_Init_Cycles,2567,cycles,PASS
EXP1_BOOT,Boot_Time,MCU_DWT,30,MCU_Init_Time,160.4375,us,PASS
EXP1_BOOT,Boot_Time,115200_Baud,31,Host_Boot_Time,45.2995000014198,ms,PASS
EXP1_BOOT,Boot_Time,MCU_DWT,31,MCU_Init_Cycles,2567,cycles,PASS
EXP1_BOOT,Boot_Time,MCU_DWT,31,MCU_Init_Time,160.4375,us,PASS
EXP1_BOOT,Boot_Time,115200_Baud,32,Host_Boot_Time,47.29579999911948,ms,PASS
EXP1_BOOT,Boot_Time,MCU_DWT,32,MCU_Init_Cycles,2567,cycles,PASS
